"Var1","Var2","count","points","diff","Var1_iso2","Var2_iso2","Var1_lat","Var1_long","Var2_lat","Var2_long","text"
"Finland","Belgium",20,126,80,"FI","BE",61.92411,25.748151,50.8333,4.469936,"Finland->Belgium: 126 punts"
"France","Belgium",24,165,9,"FR","BE",46.2276,2.2137,50.8333,4.469936,"France->Belgium: 165 punts"
"Germany","Belgium",19,114,-27,"DE","BE",51.165691,10.451526,50.8333,4.469936,"Germany->Belgium: 114 punts"
"Ireland","Belgium",21,148,-30,"IE","BE",53.1424,-7.6921,50.8333,4.469936,"Ireland->Belgium: 148 punts"
"Israel","Belgium",20,92,-64,"IL","BE",31.046051,34.851612,50.8333,4.469936,"Israel->Belgium: 92 punts"
"Italy","Belgium",13,64,-29,"IT","BE",41.87194,12.56738,50.8333,4.469936,"Italy->Belgium: 64 punts"
"Luxembourg","Belgium",8,48,-5,"LU","BE",49.8153,6.1296,50.8333,4.469936,"Luxembourg->Belgium: 48 punts"
"Malta","Belgium",5,37,-16,"MT","BE",35.9375,14.3754,50.8333,4.469936,"Malta->Belgium: 37 punts"
"Monaco","Belgium",3,26,10,"MC","BE",43.7333,7.4167,50.8333,4.469936,"Monaco->Belgium: 26 punts"
"Norway","Belgium",19,94,-39,"NO","BE",60.472,8.4689,50.8333,4.469936,"Norway->Belgium: 94 punts"
"Portugal","Belgium",22,160,49,"PT","BE",39.3999,-8.2245,50.8333,4.469936,"Portugal->Belgium: 160 punts"
"Spain","Belgium",24,138,10,"ES","BE",40.463667,-3.74922,50.8333,4.469936,"Spain->Belgium: 138 punts"
"Sweden","Belgium",18,94,-106,"SE","BE",60.128161,18.643501,50.8333,4.469936,"Sweden->Belgium: 94 punts"
"Switzerland","Belgium",13,83,-36,"CH","BE",46.8182,8.2275,50.8333,4.469936,"Switzerland->Belgium: 83 punts"
"The Netherlands","Belgium",29,210,-39,"NL","BE",52.1326,5.2913,50.8333,4.469936,"The Netherlands->Belgium: 210 punts"
"Turkey","Belgium",10,63,-77,"TR","BE",38.9637,35.2433,50.8333,4.469936,"Turkey->Belgium: 63 punts"
"United Kingdom","Belgium",24,120,-29,"GB","BE",55.3781,-3.436,50.8333,4.469936,"United Kingdom->Belgium: 120 punts"
