"year","edition","to","points","iso2"
1975,"1975f","Belgium",17,"BE"
1975,"1975f","Finland",74,"FI"
1975,"1975f","France",91,"FR"
1975,"1975f","Germany",15,"DE"
1975,"1975f","Ireland",68,"IE"
1975,"1975f","Israel",40,"IL"
1975,"1975f","Italy",115,"IT"
1975,"1975f","Luxembourg",84,"LU"
1975,"1975f","Malta",32,"MT"
1975,"1975f","Monaco",22,"MC"
1975,"1975f","Norway",11,"NO"
1975,"1975f","Portugal",16,"PT"
1975,"1975f","Spain",53,"ES"
1975,"1975f","Sweden",72,"SE"
1975,"1975f","Switzerland",77,"CH"
1975,"1975f","The Netherlands",152,"NL"
1975,"1975f","Turkey",3,"TR"
1975,"1975f","United Kingdom",138,"GB"
1975,"1975f","Yugoslavia",22,NA
1976,"1976f","Austria",80,"AT"
1976,"1976f","Belgium",68,"BE"
1976,"1976f","Finland",44,"FI"
1976,"1976f","France",147,"FR"
1976,"1976f","Germany",12,"DE"
1976,"1976f","Greece",20,"GR"
1976,"1976f","Ireland",54,"IE"
1976,"1976f","Israel",77,"IL"
1976,"1976f","Italy",69,"IT"
1976,"1976f","Luxembourg",17,"LU"
1976,"1976f","Monaco",93,"MC"
1976,"1976f","Norway",7,"NO"
1976,"1976f","Portugal",24,"PT"
1976,"1976f","Spain",11,"ES"
1976,"1976f","Switzerland",91,"CH"
1976,"1976f","The Netherlands",56,"NL"
1976,"1976f","United Kingdom",164,"GB"
1976,"1976f","Yugoslavia",10,NA
1977,"1977f","Austria",11,"AT"
1977,"1977f","Belgium",69,"BE"
1977,"1977f","Finland",50,"FI"
1977,"1977f","France",136,"FR"
1977,"1977f","Germany",55,"DE"
1977,"1977f","Greece",92,"GR"
1977,"1977f","Ireland",119,"IE"
1977,"1977f","Israel",49,"IL"
1977,"1977f","Italy",33,"IT"
1977,"1977f","Luxembourg",17,"LU"
1977,"1977f","Monaco",96,"MC"
1977,"1977f","Norway",18,"NO"
1977,"1977f","Portugal",18,"PT"
1977,"1977f","Spain",52,"ES"
1977,"1977f","Sweden",2,"SE"
1977,"1977f","Switzerland",71,"CH"
1977,"1977f","The Netherlands",35,"NL"
1977,"1977f","United Kingdom",121,"GB"
1978,"1978f","Austria",14,"AT"
1978,"1978f","Belgium",125,"BE"
1978,"1978f","Denmark",13,"DK"
1978,"1978f","Finland",2,"FI"
1978,"1978f","France",119,"FR"
1978,"1978f","Germany",84,"DE"
1978,"1978f","Greece",66,"GR"
1978,"1978f","Ireland",86,"IE"
1978,"1978f","Israel",157,"IL"
1978,"1978f","Italy",53,"IT"
1978,"1978f","Luxembourg",73,"LU"
1978,"1978f","Monaco",107,"MC"
1978,"1978f","Norway",0,"NO"
1978,"1978f","Portugal",5,"PT"
1978,"1978f","Spain",65,"ES"
1978,"1978f","Sweden",26,"SE"
1978,"1978f","Switzerland",65,"CH"
1978,"1978f","The Netherlands",37,"NL"
1978,"1978f","Turkey",2,"TR"
1978,"1978f","United Kingdom",61,"GB"
1979,"1979f","Austria",5,"AT"
1979,"1979f","Belgium",5,"BE"
1979,"1979f","Denmark",76,"DK"
1979,"1979f","Finland",38,"FI"
1979,"1979f","France",106,"FR"
1979,"1979f","Germany",86,"DE"
1979,"1979f","Greece",69,"GR"
1979,"1979f","Ireland",80,"IE"
1979,"1979f","Israel",125,"IL"
1979,"1979f","Italy",27,"IT"
1979,"1979f","Luxembourg",44,"LU"
1979,"1979f","Monaco",12,"MC"
1979,"1979f","Norway",57,"NO"
1979,"1979f","Portugal",64,"PT"
1979,"1979f","Spain",116,"ES"
1979,"1979f","Sweden",8,"SE"
1979,"1979f","Switzerland",60,"CH"
1979,"1979f","The Netherlands",51,"NL"
1979,"1979f","United Kingdom",73,"GB"
1980,"1980f","Austria",64,"AT"
1980,"1980f","Belgium",14,"BE"
1980,"1980f","Denmark",25,"DK"
1980,"1980f","Finland",6,"FI"
1980,"1980f","France",45,"FR"
1980,"1980f","Germany",128,"DE"
1980,"1980f","Greece",30,"GR"
1980,"1980f","Ireland",143,"IE"
1980,"1980f","Italy",87,"IT"
1980,"1980f","Luxembourg",56,"LU"
1980,"1980f","Morocco",7,"MA"
1980,"1980f","Norway",15,"NO"
1980,"1980f","Portugal",71,"PT"
1980,"1980f","Spain",38,"ES"
1980,"1980f","Sweden",47,"SE"
1980,"1980f","Switzerland",104,"CH"
1980,"1980f","The Netherlands",93,"NL"
1980,"1980f","Turkey",23,"TR"
1980,"1980f","United Kingdom",106,"GB"
1981,"1981f","Austria",20,"AT"
1981,"1981f","Belgium",40,"BE"
1981,"1981f","Cyprus",69,"CY"
1981,"1981f","Denmark",41,"DK"
1981,"1981f","Finland",27,"FI"
1981,"1981f","France",125,"FR"
1981,"1981f","Germany",132,"DE"
1981,"1981f","Greece",55,"GR"
1981,"1981f","Ireland",105,"IE"
1981,"1981f","Israel",56,"IL"
1981,"1981f","Luxembourg",41,"LU"
1981,"1981f","Norway",0,"NO"
1981,"1981f","Portugal",9,"PT"
1981,"1981f","Spain",38,"ES"
1981,"1981f","Sweden",50,"SE"
1981,"1981f","Switzerland",121,"CH"
1981,"1981f","The Netherlands",51,"NL"
1981,"1981f","Turkey",9,"TR"
1981,"1981f","United Kingdom",136,"GB"
1981,"1981f","Yugoslavia",35,NA
1982,"1982f","Austria",57,"AT"
1982,"1982f","Belgium",96,"BE"
1982,"1982f","Cyprus",85,"CY"
1982,"1982f","Denmark",5,"DK"
1982,"1982f","Finland",0,"FI"
1982,"1982f","Germany",161,"DE"
1982,"1982f","Ireland",49,"IE"
1982,"1982f","Israel",100,"IL"
1982,"1982f","Luxembourg",78,"LU"
1982,"1982f","Norway",40,"NO"
1982,"1982f","Portugal",32,"PT"
1982,"1982f","Spain",52,"ES"
1982,"1982f","Sweden",67,"SE"
1982,"1982f","Switzerland",97,"CH"
1982,"1982f","The Netherlands",8,"NL"
1982,"1982f","Turkey",20,"TR"
1982,"1982f","United Kingdom",76,"GB"
1982,"1982f","Yugoslavia",21,NA
1983,"1983f","Austria",53,"AT"
1983,"1983f","Belgium",13,"BE"
1983,"1983f","Cyprus",26,"CY"
1983,"1983f","Denmark",16,"DK"
1983,"1983f","Finland",41,"FI"
1983,"1983f","France",56,"FR"
1983,"1983f","Germany",94,"DE"
1983,"1983f","Greece",32,"GR"
1983,"1983f","Israel",136,"IL"
1983,"1983f","Italy",41,"IT"
1983,"1983f","Luxembourg",142,"LU"
1983,"1983f","Norway",53,"NO"
1983,"1983f","Portugal",33,"PT"
1983,"1983f","Spain",0,"ES"
1983,"1983f","Sweden",126,"SE"
1983,"1983f","Switzerland",28,"CH"
1983,"1983f","The Netherlands",66,"NL"
1983,"1983f","Turkey",0,"TR"
1983,"1983f","United Kingdom",79,"GB"
1983,"1983f","Yugoslavia",125,NA
1984,"1984f","Austria",5,"AT"
1984,"1984f","Belgium",70,"BE"
1984,"1984f","Cyprus",31,"CY"
1984,"1984f","Denmark",101,"DK"
1984,"1984f","Finland",46,"FI"
1984,"1984f","France",61,"FR"
1984,"1984f","Germany",34,"DE"
